index,title,genres,tag
117,If Lucy Fell (1996),Comedy|Romance,heroine in tight suit
118,"Steal Big, Steal Little (1995)",Comedy,Adventure
119,"Boys of St. Vincent, The (1992)",Drama,ensemble cast
121,Boomerang (1992),Comedy|Romance,fantasy
122,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,fantasy world
123,Flirting With Disaster (1996),Comedy,great soundtrack
125,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,lord of the rings
126,Jupiter's Wife (1994),Documentary,scenic
128,Pie in the Sky (1996),Comedy|Romance,stylized
129,Jade (1995),Thriller,Tolkien
132,Down Periscope (1996),Comedy,hilarious
135,Man of the Year (1995),Documentary,Steve Carell
137,Up Close and Personal (1996),Drama|Romance,Will Ferrell
140,"Birdcage, The (1996)",Comedy,animation
141,"Brothers McMullen, The (1995)",Comedy,anime
144,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,cyberpunk
145,"Amazing Panda Adventure, The (1995)",Adventure|Children,dark
146,"Basketball Diaries, The (1995)",Drama,Matrix
147,"Awfully Big Adventure, An (1995)",Drama,sci-fi
148,Amateur (1994),Crime|Drama|Thriller,dark comedy
149,Apollo 13 (1995),Adventure|Drama|IMAX,Jim Carrey
150,Rob Roy (1995),Action|Drama|Romance|War,meryl streep
151,"Addiction, The (1995)",Drama|Horror,quirky
152,Batman Forever (1995),Action|Adventure|Comedy|Crime,stylized
153,Beauty of the Day (Belle de jour) (1967),Drama,Adam Sandler
154,Beyond Rangoon (1995),Adventure|Drama|War,family
155,Blue in the Face (1995),Comedy|Drama,sweet
156,Canadian Bacon (1995),Comedy|War,British gangster
157,Casper (1995),Adventure|Children,confusing
158,Clockers (1995),Crime|Drama|Mystery,daniel craig
159,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Exquisite plotting.
160,Crimson Tide (1995),Drama|Thriller|War,organized crime
161,Crumb (1994),Documentary,stylish
162,Desperado (1995),Action|Romance|Western,Tom Hardy
163,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,anime
164,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,fantasy world
165,"Doom Generation, The (1995)",Comedy|Crime|Drama,Hayao Miyazaki
166,First Knight (1995),Action|Drama|Romance,Studio Ghibli
168,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,David Thewlis
169,Hackers (1995),Action|Adventure|Crime|Thriller,Eva Green
170,Jeffrey (1995),Comedy|Drama,Liam Neeson
171,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Orlando Bloom
172,Judge Dredd (1995),Action|Crime|Sci-Fi,Chris Evans
173,Jury Duty (1995),Comedy,comic book
174,Kids (1995),Drama,heroine in tight suit
175,Living in Oblivion (1995),Comedy,Jessica Alba
176,Lord of Illusions (1995),Horror,sexy female scientist
177,Love & Human Remains (1993),Comedy|Drama,superhero
178,Mad Love (1995),Drama|Romance,gothic
179,Mallrats (1995),Comedy|Romance,helena bonham carter
180,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Johnny Depp
181,Mute Witness (1994),Comedy|Horror|Thriller,Tim Burton
183,Nadja (1994),Drama,visually appealing
184,"Net, The (1995)",Action|Crime|Thriller,black comedy
185,Nine Months (1995),Comedy|Romance,clever
186,Party Girl (1995),Comedy,fast-paced dialogue
187,"Prophecy, The (1995)",Fantasy|Horror|Mystery,good dialogue
188,Reckless (1995),Comedy|Fantasy,Robert Downey Jr.
189,Safe (1995),Thriller,witty
190,"Scarlet Letter, The (1995)",Drama|Romance,adventure
191,Showgirls (1995),Drama,Audrey Tautou
193,Smoke (1995),Comedy|Drama,conspiracy theory
194,Something to Talk About (1995),Comedy|Drama|Romance,Mystery
195,Species (1995),Horror|Sci-Fi,Paris
196,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Tom Hanks
198,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,treasure hunt
199,Three Wishes (1995),Drama|Fantasy,Brad Pitt
201,Total Eclipse (1995),Drama|Romance,cate blanchett
202,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,multiple storylines
203,Under Siege 2: Dark Territory (1995),Action,social commentary
204,Unstrung Heroes (1995),Comedy|Drama,Ben Stiller
205,Unzipped (1995),Documentary,Robin Williams
206,"Walk in the Clouds, A (1995)",Drama|Romance,emma thompson
207,Waterworld (1995),Action|Adventure|Sci-Fi,Maggie Gyllenhaal
208,White Man's Burden (1995),Drama,modern fantasy
209,Wild Bill (1995),Western,romance
210,"Browning Version, The (1994)",Drama,surreal
211,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,Will Ferrell
212,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Marion Cotillard
213,Before the Rain (Pred dozhdot) (1994),Drama|War,Africa
214,Before Sunrise (1995),Drama|Romance,corruption
215,Billy Madison (1995),Comedy,Jennifer Connelly
216,"Babysitter, The (1995)",Drama|Thriller,justice
217,Boys on the Side (1995),Comedy|Drama,Leonardo DiCaprio
218,"Cure, The (1995)",Drama,bad acting
219,Castle Freak (1995),Horror,bad jokes
220,Circle of Friends (1995),Drama|Romance,bad plot
222,Clerks (1994),Comedy,Chris Evans
223,Don Juan DeMarco (1995),Comedy|Drama|Romance,Jessica Alba
224,Disclosure (1994),Drama|Thriller,Marvel
225,Drop Zone (1994),Action|Thriller,sexy female scientist
227,Destiny Turns on the Radio (1995),Comedy,Rachel Weisz
228,Death and the Maiden (1994),Drama|Thriller,Ryan Reynolds
229,Dolores Claiborne (1995),Drama|Thriller,fantasy
230,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,lion
231,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,narnia
232,Exotica (1994),Drama,Tilda Swinton
233,Exit to Eden (1994),Comedy,bad script
234,Ed Wood (1994),Comedy|Drama,Charlize Theron
235,French Kiss (1995),Action|Comedy|Romance,Will Smith
236,Forget Paris (1995),Comedy|Romance,Anne Hathaway
237,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,Steve Carell
238,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,comedy
239,Hideaway (1995),Thriller,funny
240,Fluke (1995),Children|Drama,will ferrell
241,Farinelli: il castrato (1994),Drama|Musical,comedy
242,Gordy (1995),Children|Comedy|Fantasy,James Franco
243,Hoop Dreams (1994),Documentary,Seth Rogen
246,Heavenly Creatures (1994),Crime|Drama,Stoner Movie
247,Houseguest (1994),Comedy,audience intelligence underestimated
248,Immortal Beloved (1994),Drama|Romance,boring
249,Heavyweights (Heavy Weights) (1995),Children|Comedy,chick flick
250,"Hunted, The (1995)",Action,overrated
251,I.Q. (1994),Comedy|Romance,Teen movie
252,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,Adrien Brody
253,Jefferson in Paris (1995),Drama,con artists
254,"Jerky Boys, The (1995)",Comedy,funny
255,Junior (1994),Comedy|Sci-Fi,interesting characters
256,Just Cause (1995),Mystery|Thriller,Mark Ruffalo
257,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,Rachel Weisz
258,Kiss of Death (1995),Crime|Drama|Thriller,Bill Murray
259,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,dark comedy
260,Little Women (1994),Drama,Emma Stone
261,"Little Princess, A (1995)",Children|Drama,funny
262,Ladybird Ladybird (1994),Drama,Jesse Eisenberg
263,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,Woody Harrelson
265,Legends of the Fall (1994),Drama|Romance|War|Western,audience intelligence underestimated
266,Major Payne (1995),Comedy,CGI
267,My Crazy Life (Mi vida loca) (1993),Drama,cheesy
269,Love Affair (1994),Drama|Romance,comic book
270,Losing Isaiah (1995),Drama,DC
271,"Madness of King George, The (1994)",Comedy|Drama,DC Comics
272,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,Ryan Reynolds
273,Man of the House (1995),Comedy,space
274,Mixed Nuts (1994),Comedy,superhero
275,Milk Money (1994),Comedy|Romance,comedy
276,Miracle on 34th Street (1994),Drama,funny
277,Miami Rhapsody (1995),Comedy,happy ending
278,My Family (1995),Drama,HOT actress
279,Murder in the First (1995),Drama|Thriller,Justin Timberlake
280,Nobody's Fool (1994),Comedy|Drama|Romance,Mila Kunis
281,Nell (1994),Drama,New York City
282,New Jersey Drive (1995),Crime|Drama,romance
283,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,sex
284,Beyond Bedlam (1993),Drama|Horror,Istanbul
285,Nina Takes a Lover (1994),Comedy|Romance,Liam Neeson
287,Natural Born Killers (1994),Action|Crime|Thriller,predictable
288,Only You (1994),Comedy|Romance,Turkey
289,Once Were Warriors (1994),Crime|Drama,unnecessary sequel
290,Poison Ivy II (1996),Drama|Thriller,action
291,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,Christoph Waltz
292,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,funny
293,"Perez Family, The (1995)",Comedy|Romance,good soundtrack
294,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,Great performances
295,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,Humour
296,Pushing Hands (Tui shou) (1992),Drama,Leonardo DiCaprio
298,Priest (1994),Drama,Quentin Tarantino
299,Quiz Show (1994),Drama,Samuel L. Jackson
300,Picture Bride (Bijo photo) (1994),Drama|Romance,Soundtrack
301,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,western
302,"Quick and the Dead, The (1995)",Action|Thriller|Western,Amy Adams
303,Roommates (1995),Comedy|Drama,superhero
304,Ready to Wear (Pret-A-Porter) (1994),Comedy,daniel radcliffe
305,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,zoe kazan
306,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,comedy
307,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,Steve Carell
308,Rent-a-Kid (1995),Comedy,stupid but funny
310,Relative Fear (1994),Horror|Thriller,will ferrell
311,Stuart Saves His Family (1995),Comedy,anti-intellectual
312,"Swan Princess, The (1994)",Animation|Children,bad writing
313,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,dystopia
314,"Specialist, The (1994)",Action|Drama|Thriller,new society
315,Stargate (1994),Action|Adventure|Sci-Fi,plot holes
316,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,predictable
317,"Shawshank Redemption, The (1994)",Crime|Drama,scifi
318,Shallow Grave (1994),Comedy|Drama|Thriller,unintelligent
319,Suture (1993),Film-Noir|Thriller,Charlize Theron
320,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,Liam Neeson
321,Swimming with Sharks (1995),Comedy|Drama,Seth MacFarlane
322,"Sum of Us, The (1994)",Comedy|Drama,witty
324,National Lampoon's Senior Trip (1995),Comedy,action
325,To Live (Huozhe) (1994),Drama,dystopia
326,Tank Girl (1995),Action|Comedy|Sci-Fi,plot holes
327,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,post-apocalyptic
328,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,survival
329,Tales from the Hood (1995),Action|Crime|Horror,thriller
330,Tom & Viv (1994),Drama,unexplained
331,Village of the Damned (1995),Horror|Sci-Fi,weak plot
332,Tommy Boy (1995),Comedy,dark hero
333,Vanya on 42nd Street (1994),Drama,gun-fu
334,Underneath (1995),Mystery|Thriller,Keanu Reeves
335,"Walking Dead, The (1995)",Drama|War,Revenge
336,What's Eating Gilbert Grape (1993),Drama,secret society
337,Virtuosity (1995),Action|Sci-Fi|Thriller,stylish
338,While You Were Sleeping (1995),Comedy|Romance,black comedy
339,"War, The (1994)",Adventure|Drama|War,dark comedy
340,Double Happiness (1994),Drama,dark humor
341,Muriel's Wedding (1994),Comedy,ironic
342,"Baby-Sitters Club, The (1995)",Children,multiple short stories
343,Ace Ventura: Pet Detective (1994),Comedy,short stories
344,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,bromance
345,Backbeat (1993),Drama|Musical,comedy
346,Bitter Moon (1992),Drama|Film-Noir|Romance,funny
347,Bullets Over Broadway (1994),Comedy,James Franco
348,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,Seth Rogen
349,"Client, The (1994)",Drama|Mystery|Thriller,comic book
350,"Corrina, Corrina (1994)",Comedy|Drama|Romance,Dr. Strange
351,Crooklyn (1994),Comedy|Drama,Great villain
352,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,Guardians of the Galaxy
353,Cobb (1994),Drama,Marvel
354,"Flintstones, The (1994)",Children|Comedy|Fantasy,MCU
355,Forrest Gump (1994),Comedy|Drama|Romance|War,Robert Downey Jr.
356,Four Weddings and a Funeral (1994),Comedy|Romance,Thanos
357,Higher Learning (1995),Drama,Thor
358,I Like It Like That (1994),Comedy|Drama|Romance,Visually stunning
359,I Love Trouble (1994),Action|Comedy,characters
360,It Could Happen to You (1994),Comedy|Drama|Romance,Dialogue
361,"Jungle Book, The (1994)",Adventure|Children|Romance,humor
362,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,Kurt Russell
363,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,Quentin Tarantino
364,Little Buddha (1993),Drama,Samuel L. Jackson
365,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,tension building
366,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,violent
367,Maverick (1994),Adventure|Comedy|Western,Western
368,Mrs. Parker and the Vicious Circle (1994),Drama,dystopia
369,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,Jennifer Lawrence
370,"Paper, The (1994)",Comedy|Drama,love story
371,Reality Bites (1994),Comedy|Drama|Romance,nonsense
372,Red Rock West (1992),Thriller,politics
373,Richie Rich (1994),Children|Comedy,rebellion
374,"River Wild, The (1994)",Action|Thriller,revolution
376,Speed (1994),Action|Romance|Thriller,Ben Kingsley
377,Speechless (1994),Comedy|Romance,ethics
378,Timecop (1994),Action|Sci-Fi|Thriller,immortality
379,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,ryan reynolds
380,When a Man Loves a Woman (1994),Drama|Romance,Bad story
381,Wolf (1994),Drama|Horror|Romance|Thriller,Bad writing
382,Wyatt Earp (1994),Western,Batman
383,Bad Company (1995),Action|Crime|Drama,Ben Affleck
384,"Man of No Importance, A (1994)",Drama,comic book
385,S.F.W. (1994),Drama,dc comics
386,"Low Down Dirty Shame, A (1994)",Action|Comedy,good soundtrack
387,Boys Life (1995),Drama,Harley Quinn
388,"Colonel Chabert, Le (1994)",Drama|Romance|War,Harley Quinn's ass
389,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,Horrible directing
390,Jason's Lyric (1994),Crime|Drama,Jared Leto
391,Street Fighter (1994),Action|Adventure|Fantasy,Joker
393,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,lack of plot
405,Federal Hill (1994),Drama,Margot Robbie
406,In the Mouth of Madness (1995),Horror|Thriller,Poor story
407,8 Seconds (1994),Drama,poorly paced
408,Above the Rim (1994),Crime|Drama,superhero
409,Addams Family Values (1993),Children|Comedy|Fantasy,visually appealing
410,"Age of Innocence, The (1993)",Drama,Will Smith
412,Airheads (1994),Comedy,action
413,"Air Up There, The (1994)",Comedy,batman
414,Another Stakeout (1993),Comedy|Thriller,ben affleck
415,Bad Girls (1994),Western,dark
416,Barcelona (1994),Comedy|Romance,dc comics
417,Being Human (1993),Drama,Gal Gadot
418,"Beverly Hillbillies, The (1993)",Comedy,superhero
419,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,superman
420,Black Beauty (1994),Adventure|Children|Drama,wonderwoman
421,Blink (1994),Thriller,leonardo DiCarpio
422,Blown Away (1994),Action|Thriller,survival
423,Blue Chips (1994),Drama,tom hardy
424,Blue Sky (1994),Drama|Romance,visually appealing
425,Body Snatchers (1993),Horror|Sci-Fi|Thriller,building a family
426,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,creative
427,"Bronx Tale, A (1993)",Drama,freedom
428,Cabin Boy (1994),Comedy,good writing
429,Calendar Girl (1993),Comedy|Drama,individualism
430,Carlito's Way (1993),Crime|Drama,Viggo Mortensen
431,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,action
432,Clean Slate (1994),Comedy,dark hero
433,Cliffhanger (1993),Action|Adventure|Thriller,gun tactics
434,Coneheads (1993),Comedy|Sci-Fi,hitman
435,Color of Night (1994),Drama|Thriller,Keanu Reeves
436,Cops and Robbersons (1994),Comedy,organized crime
437,"Cowboy Way, The (1994)",Action|Comedy|Drama,secret society
438,Dave (1993),Comedy|Romance,Dystopia
440,Dazed and Confused (1993),Comedy,future
441,Demolition Man (1993),Action|Adventure|Sci-Fi,interesting
442,Even Cowgirls Get the Blues (1993),Comedy|Romance,jon hamm
444,Fatal Instinct (1993),Comedy,thought provoking
445,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,Action
446,Fearless (1993),Drama,Comedy
448,Fear of a Black Hat (1994),Comedy,Dwayne Johnson
449,With Honors (1994),Comedy|Drama,funny
450,Flesh and Bone (1993),Drama|Mystery|Romance,Comedy
451,Widows' Peak (1994),Drama,funny
452,For Love or Money (1993),Comedy|Romance,Rachel McAdams
453,"Firm, The (1993)",Drama|Thriller,adventure
454,Free Willy (1993),Adventure|Children|Drama,Alicia Vikander
455,Fresh (1994),Crime|Drama|Thriller,video game adaptation
456,"Fugitive, The (1993)",Thriller,Josh Brolin
457,Geronimo: An American Legend (1993),Drama|Western,Ryan Reynolds
458,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller,sarcasm
459,Getting Even with Dad (1994),Comedy,Emilia Clarke
460,Go Fish (1994),Drama|Romance,star wars
461,Hard Target (1993),Action|Adventure|Crime|Thriller,classic
464,Hot Shots! Part Deux (1993),Action|Comedy|War,space action
466,Live Nude Girls (1995),Comedy,action
467,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance,sci-fi
468,"House of the Spirits, The (1993)",Drama|Romance,EPIC
469,House Party 3 (1994),Comedy,great soundtrack
470,"Hudsucker Proxy, The (1994)",Comedy,good dialogue
471,I'll Do Anything (1994),Comedy|Drama,great soundtrack
472,In the Army Now (1994),Comedy|War,non-linear
473,In the Line of Fire (1993),Action|Thriller,Everything you want is here
474,In the Name of the Father (1993),Drama,adventure
475,"Inkwell, The (1994)",Comedy|Drama,classic sci-fi
476,What's Love Got to Do with It? (1993),Drama|Musical,engrossing adventure
477,Jimmy Hollywood (1994),Comedy|Crime|Drama,EPIC
478,Judgment Night (1993),Action|Crime|Thriller,classic
479,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,Nerd
480,Kalifornia (1993),Drama|Thriller,animation
481,Killing Zoe (1994),Crime|Drama|Thriller,funny
482,Lassie (1994),Adventure|Children,stone age
484,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,action
485,Life with Mikey (1993),Comedy,killer
486,Lightning Jack (1994),Comedy|Western,widows/widowers
487,M. Butterfly (1993),Drama|Romance,animation
488,Made in America (1993),Comedy,kids
489,Malice (1993),Thriller,robots
490,"Man Without a Face, The (1993)",Drama,action
491,Manhattan Murder Mystery (1993),Comedy|Mystery,murder
492,Menace II Society (1993),Action|Crime|Drama,police
493,Executive Decision (1996),Action|Adventure|Thriller,Kevin Costner
494,In the Realm of the Senses (Ai no corrida) (1976),Drama,Post apocalyptic
495,What Happened Was... (1994),Comedy|Drama|Romance|Thriller,dark comedy
496,Much Ado About Nothing (1993),Comedy|Romance,dark humor
497,Mr. Wonderful (1993),Comedy|Romance,irreverent
499,Mrs. Doubtfire (1993),Comedy|Drama,jay and silent bob
500,Naked (1993),Drama,Kevin Smith
501,"Next Karate Kid, The (1994)",Action|Children|Romance,satire
502,No Escape (1994),Action|Drama|Sci-Fi,irreverent
504,North (1994),Comedy,based on a book
505,Orlando (1992),Drama|Fantasy|Romance,bloody
506,"Perfect World, A (1993)",Crime|Drama|Thriller,brutal
507,Philadelphia (1993),Drama,controversial
508,"Piano, The (1993)",Drama|Romance,dystopia
509,Poetic Justice (1993),Drama,goretastic
510,"Program, The (1993)",Action|Drama,satire
511,"Puppet Masters, The (1994)",Horror|Sci-Fi,social commentary
512,Radioland Murders (1994),Comedy|Mystery|Romance,survival
513,"Ref, The (1994)",Comedy,violence
514,"Remains of the Day, The (1993)",Drama|Romance,alternate reality
515,Renaissance Man (1994),Comedy|Drama,sci-fi
516,Rising Sun (1993),Action|Drama|Mystery,science fiction
517,"Road to Wellville, The (1994)",Comedy,time travel
518,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller,brutal
519,Robin Hood: Men in Tights (1993),Comedy,clever
520,Romeo Is Bleeding (1993),Crime|Thriller,Disturbing
521,Romper Stomper (1992),Action|Drama,great ending
522,Ruby in Paradise (1993),Drama,mindfuck
523,Rudy (1993),Drama,surprise ending
524,"Savage Nights (Nuits fauves, Les) (1992)",Drama,suspense
526,Schindler's List (1993),Drama|War,cruel characters
527,"Scout, The (1994)",Comedy|Drama,brutality
528,Searching for Bobby Fischer (1993),Drama,dark humor
529,"Secret Garden, The (1993)",Children|Drama,threesome
531,Serial Mom (1994),Comedy|Crime|Horror,Seth Rogen
